created_at,tweet,polarity,subjectivity,sentiment
2016-12-08 07:12:15,b'2 of my fav things : Marijuana Genomes Now Registered on the Bitcoin Blockchain https://t.co/piK5HlQ1pb via @investopedia',0.0,0.0,0
2016-12-08 07:12:11,b'Demonetisation: Why #Bitcoin is gaining currency in cashless times - https://t.co/QBHCXkdSAA',0.0,0.0,0
2016-12-08 07:12:06,"b""Bitcoin Price Could Triple in 2017, Saxo Bank Says in 'Outrageous' Prediction https://t.co/iL1Ta30ASB via @CoinDesk""",-1.0,1.0,0
2016-12-08 07:12:03,b'LESSON 2....BITCOIN MINING WITH BITCLUB NETWORK\n\n https://t.co/WIM8ADf2Vg #passiveincome... by #bitclubbitcoin via @c0nvey',0.0,0.0,0
2016-12-08 07:11:53,"b""RT @Datavetaren: There'll be at most 21 million #bitcoin. Current population is 7.5 billion. Just saying. #price \xf0\x9f\x9a\x80""",0.25,0.45,1
2016-12-08 07:11:38,"b'@safe4retirement @thebtcpodcast @KennethBosak Awesome time earlier, great discussion.  #Philly is poised to be a leader in #Bitcoin !!!'",0.6666666666666666,0.75,1
2016-12-08 07:11:32,b'Bitcoin: The Simple Guide To Everything You Need To Know https://t.co/91RPzYsNa9  #XBT #BTC #Bitcoin',0.0,0.35714285714285715,0
2016-12-08 07:11:31,b'RT @FBaldimtsi: The deadline for submitting the FC Bitcoin workshop has been extended to Dec 15th! More time to send awesome papers!\nhttps:\xe2\x80\xa6',0.75,0.75,1
2016-12-08 07:11:31,b'Bitcoin is a bubble. It will burst on Monday 12 December 2016. https://t.co/BpF8gKaSdK',0.0,0.0,0
2016-12-08 07:11:29,b'RT @ArkEcosystem: ARK-TEC\n\n#Ark Token Exchange Campaign: 7. November - 11. December 2016\n\n$ARK $LSK $BTC $ETH #LISK #bitcoin #crypto #PR #s\xe2\x80\xa6',0.0,0.0,0
2016-12-08 07:11:26,b'RT @SwiftOnSecurity: I just figured out a new business model.\n\nRansomware loans. We give you the Bitcoin up-front and finance payments over\xe2\x80\xa6',0.13636363636363635,0.45454545454545453,0
2016-12-08 07:11:23,b'#NLN | Earning Bitcoin while watching @Twitch stream? @gitcoingg of course!\nhttps://t.co/AbJ7rZ3DmR | used by some streamers like @A_Jaxx117',0.0,0.0,0
2016-12-08 07:11:19,b'Check it out! Beginners guide to #Blockchain https://t.co/AZpL9Ucv9s #bitcoin #ethereum #startup https://t.co/gcNoZz6eNU',0.0,0.0,0
2016-12-08 07:11:14,b'RT @ArkEcosystem: To be an #ARK delegate!\nhttps://t.co/5hu67mQlVt\n\n$ARK #delegate $LSK $BTC $ETH #LISK #bitcoin #crypto #PR #startups #succ\xe2\x80\xa6',0.0,0.0,0
2016-12-08 07:11:09,"b""nullc:  Loudest, well I suppose I'm pretty loud but the rest? uh no.  Also Blockstream isn't funded by PwC.   No it https://t.co/wS3Q9OdbwP""",0.175,0.9,0
2016-12-08 07:11:08,"b'RT @iBHubs: Heard about #BLOCKCHAIN!\nGear up to meet GLOBAL HEROES of ""BLOCKCHAIN"" at #Hyderabad Tomorrow.\nSTAY TUNED..! #iBHubs #DeepTech\xe2\x80\xa6'",0.0,0.0,0
2016-12-08 07:11:07,"b""fluffyponyza: That's a very valid point. So then why didn't they voice their concerns to the dev commmnity? Why ste https://t.co/lEhpH9DAVC""",0.2,0.3,1
2016-12-08 07:10:54,"b""RT @abhinand_kaseti: .@Unocoin showcasing India's first Bitcoin app @cebit bangalore. https://t.co/1MLVIyBXSJ""",0.25,0.3333333333333333,1
2016-12-08 07:10:39,b'To be an #ARK delegate!\nhttps://t.co/5hu67mQlVt\n\n$ARK #delegate $LSK $BTC $ETH #LISK #bitcoin #crypto #PR #startups #success #investors #ICO',0.3,0.0,1
2016-12-08 07:10:38,b'RT @Essvari: #Malaysian Premier #Bitcoin Exchange\xc2\xa0Is Open for #Business https://t.co/3U93AaDYtW',0.0,0.5,0
2016-12-08 07:10:36,b'RT @FBaldimtsi: The deadline for submitting the FC Bitcoin workshop has been extended to Dec 15th! More time to send awesome papers!\nhttps:\xe2\x80\xa6',0.75,0.75,1
2016-12-08 07:10:36,b'RT @FBaldimtsi: The deadline for submitting the FC Bitcoin workshop has been extended to Dec 15th! More time to send awesome papers!\nhttps:\xe2\x80\xa6',0.75,0.75,1
2016-12-08 07:10:23,b'Some say Bitcoin is now to where the Internet was in the 1980s and early 1990s. Receive 3.60% per day forever C HOW\xe2\x80\xa6 https://t.co/i96w6bD0d7',0.1,0.3,0
2016-12-08 07:10:09,"b'The Crypto Show with Michael(Perkules)Perklin, Paul Sztorc and Brian(DWB)Deery on the latest Hacks https://t.co/0j8sNI4W8H'",0.5,0.9,1
2016-12-08 07:10:08,"b'RT @moneytrigz: @coindesk meanwhile..... $btc #bitcoin traders forget, bitcoin is necessity for many, capital controls/restrictions/inflati\xe2\x80\xa6'",0.5,0.5,1
